사업소| 호기 | 일자| 용량(MW)| 발전량(MWh)| 열효율(%)| 이용율(%)| 발전원
영동| 1| 202112| 125| 0| 0| 0| 바이오매스
영동| 2| 202112| 200| 106590| 0| 71.63| 바이오매스
영동태양광| 1| 202112| 1.07| 93.06| 0| 11.69| 태양력
영흥| 1| 202112| 800| 0| 0| 0| 석탄
영흥| 2| 202112| 800| 526107| 39.3| 88.39| 석탄
영흥| 3| 202112| 870| 573619.31| 39.46| 88.62| 석탄
영흥| 4| 202112| 870| 575699.68| 38.58| 88.94| 석탄
영흥| 5| 202112| 870| 590789| 39.66| 91.27| 석탄
영흥| 6| 202112| 870| 589978| 39.75| 91.15| 석탄
영흥태양광| 1| 202112| 1| 67.09| 0| 9.02| 태양력
영흥태양광| 2| 202112| 0.99| 68.37| 0| 9.28| 태양력
영흥태양광 #3| 1| 202112| 3.33| 237.07| 0| 9.57| 태양력
영흥태양광 #3| 2| 202112| 1.28| 110.38| 0| 11.59| 태양력
영흥태양광 #3| 3| 202112| 1.54| 130.9| 0| 11.42| 태양력
영흥태양광#5| 1| 202112| 3.5| 239.93| 0| 9.21| 태양력
영흥풍력| 1| 202112| 22| 2422.02| 0| 14.8| 풍력
영흥풍력| 2| 202112| 24| 3878.37| 0| 21.72| 풍력
영흥해양소수력| 1| 202112| 3| 1176.32| 0| 52.7| 소수력
영흥해양소수력| 2| 202112| 4.6| 920.23| 0| 26.89| 소수력
영흥해양소수력| 3| 202112| 5| 1649.92| 0| 44.35| 소수력
예천태양광| 1| 202112| 2| 185.21| 0| 12.45| 태양력
탑선태양광| 1| 202112| 0.61| 24.14| 0| 5.32| 태양력
탑선태양광| 3| 202112| 0.4| 16.24| 0| 5.46| 태양력
경상대태양광| 1| 202111| 0.91| 84.57| 0| 12.91| 태양력
광양항세방태양광| 1| 202111| 3.1| 218.26| 0| 9.78| 태양력
구미태양광| 1| 202111| 0.99| 87.17| 0| 12.23| 태양력
군위 화산풍력| 1| 202111| 11.55| 2231.5| 0| 26.83| 
두산태양광| 1| 202111| 0.08| 5.59| 0| 9.7| 태양력
분당| CG1| 202111| 77.76| 8025| 26.26| 14.33| 복합
분당| CG2| 202111| 77.76| 25127| 27.47| 44.88| 복합
분당| CG3| 202111| 77.76| 19260| 28.92| 34.4| 복합
분당| CG4| 202111| 77.76| 9087| 28.06| 16.23| 복합
분당| CG5| 202111| 77.76| 10424| 29.51| 18.62| 복합
분당| CG6| 202111| 77.76| 46005| 28.74| 82.17| 복합
분당| CG7| 202111| 77.76| 46256| 28.92| 82.62| 복합
분당| CG8| 202111| 77.76| 46965| 28.1| 83.89| 복합
분당| CS1| 202111| 185| 24351| 0| 18.28| 복합
분당| CS2| 202111| 115| 46241| 0| 55.85| 복합
분당연료전지| 2| 202111| 3.08| 1188.21| 30.37| 53.58| 기타
분당연료전지| 3| 202111| 5.72| 2632.85| 32.51| 63.93| 기타
분당연료전지| 4| 202111| 16.72| 6771.85| 32.28| 56.25| 기타
분당연료전지| 5| 202111| 5.72| 2344.59| 30.72| 56.93| 기타
분당연료전지| 6-1| 202111| 5.1| 2667.71| 44.98| 72.65| 기타
분당연료전지| 6-2| 202111| 3.25| 1897.28| 44.72| 81.08| 기타
삼천포| 3| 202111| 560| 117117| 35.82| 29.05| 석탄
삼천포| 4| 202111| 560| 339294| 36.54| 84.15| 석탄
삼천포| 5| 202111| 500| 326335| 39.12| 90.65| 석탄
삼천포| 6| 202111| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202111| 0.1| 7.47| 0| 10.38| 태양력
삼천포태양광| 2| 202111| 0.99| 97.09| 0| 13.62| 태양력
삼천포태양광| 3| 202111| 0.35| 31.44| 0| 12.48| 태양력
삼천포태양광| 4| 202111| 1.85| 170.1| 0| 12.77| 태양력
삼천포태양광#5| 1| 202111| 3.94| 434.71| 0| 15.32| 태양력
삼천포태양광#5| 2| 202111| 6.65| 737.05| 0| 15.39| 태양력
삼천포태양광#6| 1| 202111| 0.98| 60.1| 0| 8.52| 태양력
삼천포풍력| 1| 202111| 0.75| 14.48| 0| 2.68| 풍력
삼천포해양소수력| 1| 202111| 6| 1384.45| 0| 32.05| 소수력
안산연료전지| 1| 202111| 2.64| 1051.95| 35.41| 55.34| 기타
여수| 1| 202111| 340| 116717| 36| 47.68| 석탄
여수| 2| 202111| 328.6| 159695| 36.26| 67.5| 석탄
여수연료전지| 1| 202111| 9.68| 6932.94| 49.03| 99.47| 기타
여수태양광| 1| 202111| 0.12| 16.58| 0| 19.19| 태양력
영동| 1| 202111| 125| 0| 0| 0| 바이오매스
영동| 2| 202111| 200| 32359| 0| 22.47| 바이오매스
영동태양광| 1| 202111| 1.07| 98.73| 0| 12.82| 태양력
영흥| 1| 202111| 800| 0| 0| 0| 석탄
영흥| 2| 202111| 800| 435241| 39.09| 75.56| 석탄
영흥| 3| 202111| 870| 553750.89| 39.42| 88.4| 석탄
영흥| 4| 202111| 870| 455881| 38.49| 72.78| 석탄
영흥| 5| 202111| 870| 568309| 39.58| 90.73| 석탄
영흥| 6| 202111| 870| 517069| 39.51| 82.55| 석탄
영흥태양광| 1| 202111| 1| 71.33| 0| 9.91| 태양력
영흥태양광| 2| 202111| 0.99| 68.17| 0| 9.56| 태양력
영흥태양광 #3| 1| 202111| 3.33| 248.26| 0| 10.35| 태양력
영흥태양광 #3| 2| 202111| 1.28| 103.48| 0| 11.23| 태양력
영흥태양광 #3| 3| 202111| 1.54| 131.97| 0| 11.9| 태양력
영흥태양광#5| 1| 202111| 3.5| 241.11| 0| 9.57| 태양력
영흥풍력| 1| 202111| 22| 2044.39| 0| 12.91| 풍력
영흥풍력| 2| 202111| 24| 2717.58| 0| 15.73| 풍력
영흥해양소수력| 1| 202111| 3| 1074.68| 0| 49.75| 소수력
영흥해양소수력| 2| 202111| 4.6| 965.25| 0| 29.14| 소수력
영흥해양소수력| 3| 202111| 5| 1685| 0| 46.81| 소수력
예천태양광| 1| 202111| 2| 176.02| 0| 12.22| 태양력
탑선태양광| 1| 202111| 0.61| 32.28| 0| 7.35| 태양력
탑선태양광| 3| 202111| 0.4| 20.97| 0| 7.28| 태양력
경상대태양광| 1| 202110| 0.91| 99.88| 0| 14.75| 태양력
광양항세방태양광| 1| 202110| 3.1| 308.22| 0| 13.36| 태양력
구미태양광| 1| 202110| 0.99| 85.91| 0| 11.66| 태양력
군위 화산풍력| 1| 202110| 11.55| 825.26| 0| 9.6| 
두산태양광| 1| 202110| 0.08| 7.15| 0| 12.01| 태양력
분당| CG1| 202110| 77.76| 0| 0| 0| 복합
분당| CG2| 202110| 77.76| 11428| 26.6| 19.75| 복합
분당| CG3| 202110| 77.76| 12193| 27.34| 21.08| 복합
분당| CG4| 202110| 77.76| 7499| 27.66| 12.96| 복합
분당| CG5| 202110| 77.76| 6221| 28.12| 10.75| 복합
분당| CG6| 202110| 77.76| 13302| 28.6| 22.99| 복합
분당| CG7| 202110| 77.76| 20757| 28.64| 35.88| 복합
분당| CG8| 202110| 77.76| 18113| 27.19| 31.31| 복합
분당| CS1| 202110| 185| 15812| 0| 11.49| 복합
분당| CS2| 202110| 115| 17601| 0| 20.57| 복합
분당연료전지| 2| 202110| 3.08| 1136.12| 30.58| 49.58| 기타
분당연료전지| 3| 202110| 5.72| 2838.81| 32.97| 66.71| 기타
분당연료전지| 4| 202110| 16.72| 6732.36| 32.13| 54.12| 기타
분당연료전지| 5| 202110| 5.72| 2409.89| 30.28| 56.63| 기타
분당연료전지| 6-1| 202110| 5.1| 2821.32| 44.74| 74.35| 기타
분당연료전지| 6-2| 202110| 3.25| 1739.84| 44.49| 71.95| 기타
삼천포| 3| 202110| 560| 0| 0| 0| 석탄
삼천포| 4| 202110| 560| 326928| 36.8| 78.47| 석탄
삼천포| 5| 202110| 500| 322303| 38.86| 86.64| 석탄
삼천포| 6| 202110| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202110| 0.1| 8.5| 0| 11.42| 태양력
삼천포태양광| 2| 202110| 0.99| 122.95| 0| 16.69| 태양력
삼천포태양광| 3| 202110| 0.35| 40.51| 0| 15.56| 태양력
삼천포태양광| 4| 202110| 1.85| 192.39| 0| 13.98| 태양력
삼천포태양광#5| 1| 202110| 3.94| 499.26| 0| 17.03| 태양력
삼천포태양광#5| 2| 202110| 6.65| 853.61| 0| 17.25| 태양력
삼천포태양광#6| 1| 202110| 0.98| 75.76| 0| 10.39| 태양력
삼천포풍력| 1| 202110| 0.75| 0| 0| 0| 풍력
삼천포해양소수력| 1| 202110| 6| 1302.67| 0| 29.18| 소수력
안산연료전지| 1| 202110| 2.64| 909.17| 35.43| 46.29| 기타
여수| 1| 202110| 340| 197494| 36.18| 78.07| 석탄
여수| 2| 202110| 328.6| 122232| 36.13| 50| 석탄
여수연료전지| 1| 202110| 9.68| 7186.07| 48.88| 99.78| 기타
여수태양광| 1| 202110| 0.12| 19.78| 0| 22.16| 태양력
영동| 1| 202110| 125| 0| 0| 0| 바이오매스
영동| 2| 202110| 200| 106415| 0| 71.52| 바이오매스
영동태양광| 1| 202110| 1.07| 88.84| 0| 11.16| 태양력
영흥| 1| 202110| 800| 122245| 37.32| 20.54| 석탄
영흥| 2| 202110| 800| 429530| 39.12| 72.17| 석탄
영흥| 3| 202110| 870| 305508.91| 38.71| 47.2| 석탄
영흥| 4| 202110| 870| 530778.69| 37.62| 82| 석탄
영흥| 5| 202110| 870| 533904| 39.72| 82.48| 석탄
영흥| 6| 202110| 870| 505875| 39.73| 78.15| 석탄
영흥태양광| 1| 202110| 1| 95.75| 0| 12.87| 태양력
영흥태양광| 2| 202110| 0.99| 91.88| 0| 12.47| 태양력
영흥태양광 #3| 1| 202110| 3.33| 335.65| 0| 13.55| 태양력
영흥태양광 #3| 2| 202110| 1.28| 142.98| 0| 15.01| 태양력
영흥태양광 #3| 3| 202110| 1.54| 159.75| 0| 13.94| 태양력
영흥태양광#5| 1| 202110| 3.5| 347.37| 0| 13.34| 태양력
영흥풍력| 1| 202110| 22| 1755.21| 0| 10.72| 풍력
영흥풍력| 2| 202110| 24| 2024.7| 0| 11.34| 풍력
영흥해양소수력| 1| 202110| 3| 1025.58| 0| 45.95| 소수력
영흥해양소수력| 2| 202110| 4.6| 1130.59| 0| 33.04| 소수력
영흥해양소수력| 3| 202110| 5| 1398.3| 0| 37.59| 소수력
예천태양광| 1| 202110| 2| 199.01| 0| 13.37| 태양력
탑선태양광| 1| 202110| 0.61| 46.68| 0| 10.29| 태양력
탑선태양광| 3| 202110| 0.4| 28.66| 0| 9.63| 태양력
경상대태양광| 1| 202109| 0.91| 73.1| 0| 11.16| 태양력
광양항세방태양광| 1| 202109| 3.1| 232.11| 0| 10.4| 태양력
구미태양광| 1| 202109| 0.99| 82.34| 0| 11.55| 태양력
군위 화산풍력| 1| 202109| 11.55| 776.99| 0| 9.34| 
두산태양광| 1| 202109| 0.08| 5.23| 0| 9.08| 태양력
분당| CG1| 202109| 77.76| 0| 0| 0| 복합
분당| CG2| 202109| 77.76| 8771| 25.68| 15.67| 복합
분당| CG3| 202109| 77.76| 9049| 26.48| 16.16| 복합
분당| CG4| 202109| 77.76| 7013| 26.69| 12.53| 복합
분당| CG5| 202109| 77.76| 5898| 27.01| 10.53| 복합
분당| CG6| 202109| 77.76| 1673| 27.68| 2.99| 복합
분당| CG7| 202109| 77.76| 1110| 26.99| 1.98| 복합
분당| CG8| 202109| 77.76| 0| 0| 0| 복합
분당| CS1| 202109| 185| 13074| 0| 9.82| 복합
분당| CS2| 202109| 115| 976| 0| 1.18| 복합
분당연료전지| 2| 202109| 3.08| 1066.66| 30.53| 48.1| 기타
분당연료전지| 3| 202109| 5.72| 2788.94| 33.14| 67.72| 기타
분당연료전지| 4| 202109| 16.72| 7330| 32.43| 60.89| 기타
분당연료전지| 5| 202109| 5.72| 2309.12| 29.96| 56.07| 기타
분당연료전지| 6-1| 202109| 5.1| 2787.39| 44.79| 75.91| 기타
분당연료전지| 6-2| 202109| 3.25| 1852.42| 44.52| 79.16| 기타
삼천포| 3| 202109| 560| 0| 0| 0| 석탄
삼천포| 4| 202109| 560| 322888| 35.26| 80.08| 석탄
삼천포| 5| 202109| 500| 202246| 38.2| 56.18| 석탄
삼천포| 6| 202109| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202109| 0.1| 5.06| 0| 7.03| 태양력
삼천포태양광| 2| 202109| 0.99| 77.28| 0| 10.84| 태양력
삼천포태양광| 3| 202109| 0.35| 26.6| 0| 10.56| 태양력
삼천포태양광| 4| 202109| 1.85| 129.42| 0| 9.72| 태양력
삼천포태양광#5| 1| 202109| 3.94| 311.91| 0| 11| 태양력
삼천포태양광#5| 2| 202109| 6.65| 539.34| 0| 11.26| 태양력
삼천포태양광#6| 1| 202109| 0.98| 52.24| 0| 7.4| 태양력
삼천포풍력| 1| 202109| 0.75| 0.01| 0| 0| 풍력
삼천포해양소수력| 1| 202109| 6| 1090.4| 0| 25.24| 소수력
안산연료전지| 1| 202109| 2.64| 814.11| 34.73| 42.83| 기타
여수| 1| 202109| 340| 73646| 35.84| 30.08| 석탄
여수| 2| 202109| 328.6| 165867| 36.3| 70.11| 석탄
여수연료전지| 1| 202109| 9.68| 6910.54| 48.94| 99.15| 기타
여수태양광| 1| 202109| 0.12| 14.36| 0| 16.62| 태양력
영동| 1| 202109| 125| 45006| 0| 50.01| 바이오매스
영동| 2| 202109| 200| 122079| 0| 84.78| 바이오매스
영동태양광| 1| 202109| 1.07| 108.63| 0| 14.1| 태양력
영흥| 1| 202109| 800| 169660| 39.31| 29.45| 석탄
영흥| 2| 202109| 800| 471449| 39.33| 81.85| 석탄
영흥| 3| 202109| 870| 166199.3| 39.97| 26.53| 석탄
영흥| 4| 202109| 870| 517770.05| 39.84| 82.66| 석탄
영흥| 5| 202109| 870| 528173| 39.71| 84.32| 석탄
영흥| 6| 202109| 870| 521082| 39.73| 83.19| 석탄
영흥태양광| 1| 202109| 1| 105.83| 0| 14.7| 태양력
영흥태양광| 2| 202109| 0.99| 110.54| 0| 15.51| 태양력
영흥태양광 #3| 1| 202109| 3.33| 370.94| 0| 15.47| 태양력
영흥태양광 #3| 2| 202109| 1.28| 151.69| 0| 16.46| 태양력
영흥태양광 #3| 3| 202109| 1.54| 146.62| 0| 13.22| 태양력
영흥태양광#5| 1| 202109| 3.5| 373.67| 0| 14.83| 태양력
영흥풍력| 1| 202109| 22| 1150.89| 0| 7.27| 풍력
영흥풍력| 2| 202109| 24| 1595.36| 0| 9.23| 풍력
영흥해양소수력| 1| 202109| 3| 857.05| 0| 39.68| 소수력
영흥해양소수력| 2| 202109| 4.6| 1253.4| 0| 37.84| 소수력
영흥해양소수력| 3| 202109| 5| 1437.63| 0| 39.93| 소수력
예천태양광| 1| 202109| 2| 197.28| 0| 13.7| 태양력
탑선태양광| 1| 202109| 0.61| 46.48| 0| 10.58| 태양력
탑선태양광| 3| 202109| 0.4| 26.91| 0| 9.34| 태양력
경상대태양광| 1| 202108| 0.91| 83.71| 0| 12.36| 태양력
광양항세방태양광| 1| 202108| 3.1| 339.24| 0| 14.71| 태양력
구미태양광| 1| 202108| 0.99| 87.16| 0| 11.83| 태양력
군위 화산풍력| 1| 202108| 11.55| 552.08| 0| 6.42| 
두산태양광| 1| 202108| 0.08| 7.45| 0| 12.52| 태양력
분당| CG1| 202108| 77.76| 7065| 25.31| 12.21| 복합
분당| CG2| 202108| 77.76| 4572| 25.66| 7.9| 복합
분당| CG3| 202108| 77.76| 6832| 26.56| 11.81| 복합
분당| CG4| 202108| 77.76| 2926| 26.44| 5.06| 복합
분당| CG5| 202108| 77.76| 3453| 26.64| 5.97| 복합
분당| CG6| 202108| 77.76| 6889| 28.18| 11.91| 복합
분당| CG7| 202108| 77.76| 6820| 27.74| 11.79| 복합
분당| CG8| 202108| 77.76| 8357| 26.04| 14.45| 복합
분당| CS1| 202108| 185| 10782| 0| 7.83| 복합
분당| CS2| 202108| 115| 10621| 0| 12.41| 복합
분당연료전지| 2| 202108| 3.08| 1088.35| 30.52| 47.49| 기타
분당연료전지| 3| 202108| 5.72| 3002.63| 33.32| 70.56| 기타
분당연료전지| 4| 202108| 16.72| 7650.41| 32.47| 61.5| 기타
분당연료전지| 5| 202108| 5.72| 2828.52| 30.4| 66.46| 기타
분당연료전지| 6-1| 202108| 5.1| 3062.85| 44.58| 80.72| 기타
분당연료전지| 6-2| 202108| 3.25| 2011.23| 44.27| 83.18| 기타
삼천포| 3| 202108| 560| 289108| 35.37| 69.39| 석탄
삼천포| 4| 202108| 560| 313230| 35.26| 75.18| 석탄
삼천포| 5| 202108| 500| 271454| 36.89| 72.97| 석탄
삼천포| 6| 202108| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202108| 0.1| 6.58| 0| 8.84| 태양력
삼천포태양광| 2| 202108| 0.99| 107.78| 0| 14.63| 태양력
삼천포태양광| 3| 202108| 0.35| 36.24| 0| 13.92| 태양력
삼천포태양광| 4| 202108| 1.85| 142.31| 0| 10.34| 태양력
삼천포태양광#5| 1| 202108| 3.94| 397.95| 0| 13.58| 태양력
삼천포태양광#5| 2| 202108| 6.65| 694.9| 0| 14.05| 태양력
삼천포태양광#6| 1| 202108| 0.98| 91.3| 0| 12.52| 태양력
삼천포풍력| 1| 202108| 0.75| 3.08| 0| .55| 풍력
삼천포해양소수력| 1| 202108| 6| 1344.45| 0| 30.12| 소수력
안산연료전지| 1| 202108| 2.64| 945.16| 33.69| 48.12| 기타
여수| 1| 202108| 340| 197568| 36.34| 78.1| 석탄
여수| 2| 202108| 328.6| 174372| 36.45| 71.32| 석탄
여수연료전지| 1| 202108| 9.68| 7137.34| 48.71| 99.1| 기타
여수태양광| 1| 202108| 0.12| 17.88| 0| 20.03| 태양력
영동| 1| 202108| 125| 83732| 0| 90.03| 바이오매스
영동| 2| 202108| 200| 128525| 0| 86.37| 바이오매스
영동태양광| 1| 202108| 1.07| 83.44| 0| 10.48| 태양력
영흥| 1| 202108| 800| 505858| 39.3| 84.99| 석탄
영흥| 2| 202108| 800| 491805| 39.31| 82.63| 석탄
영흥| 3| 202108| 870| 533731.48| 39.86| 82.46| 석탄
영흥| 4| 202108| 870| 521400.22| 39.8| 80.55| 석탄
영흥| 5| 202108| 870| 539950| 39.74| 83.42| 석탄
영흥| 6| 202108| 870| 524797| 39.73| 81.08| 석탄
영흥태양광| 1| 202108| 1| 95.99| 0| 12.9| 태양력
영흥태양광| 2| 202108| 0.99| 97.11| 0| 13.18| 태양력
영흥태양광 #3| 1| 202108| 3.33| 337.6| 0| 13.63| 태양력
영흥태양광 #3| 2| 202108| 1.28| 133.34| 0| 14| 태양력
영흥태양광 #3| 3| 202108| 1.54| 133.88| 0| 11.68| 태양력
영흥풍력| 1| 202108| 22| 711.77| 0| 4.35| 풍력
영흥풍력| 2| 202108| 24| 1175.59| 0| 6.58| 풍력
영흥해양소수력| 1| 202108| 3| 804.61| 0| 36.05| 소수력
영흥해양소수력| 2| 202108| 4.6| 1156.88| 0| 33.8| 소수력
영흥해양소수력| 3| 202108| 5| 1798.42| 0| 48.34| 소수력
예천태양광| 1| 202108| 2| 187.88| 0| 12.63| 태양력
탑선태양광| 1| 202108| 0.61| 53.77| 0| 11.85| 태양력
탑선태양광| 3| 202108| 0.4| 30.73| 0| 10.33| 태양력
경상대태양광| 1| 202107| 0.91| 107.24| 0| 15.84| 태양력
광양항세방태양광| 1| 202107| 3.1| 372.35| 0| 16.14| 태양력
구미태양광| 1| 202107| 0.99| 112| 0| 15.21| 태양력
군위 화산풍력| 1| 202107| 11.55| 532.69| 0| 6.2| 
두산태양광| 1| 202107| 0.08| 8.68| 0| 14.58| 태양력
분당| CG1| 202107| 77.76| 11145| 25.52| 19.26| 복합
분당| CG2| 202107| 77.76| 9351| 25.75| 16.16| 복합
분당| CG3| 202107| 77.76| 11073| 26.51| 19.14| 복합
분당| CG4| 202107| 77.76| 8046| 26.49| 13.91| 복합
분당| CG5| 202107| 77.76| 8098| 26.77| 14| 복합
분당| CG6| 202107| 77.76| 13809| 28.05| 23.87| 복합
분당| CG7| 202107| 77.76| 12468| 27.62| 21.55| 복합
분당| CG8| 202107| 77.76| 13945| 26.67| 24.1| 복합
분당| CS1| 202107| 185| 22165| 0| 16.1| 복합
분당| CS2| 202107| 115| 20164| 0| 23.57| 복합
분당연료전지| 2| 202107| 3.08| 990.99| 30.64| 43.25| 기타
분당연료전지| 3| 202107| 5.72| 2974.1| 33.04| 69.89| 기타
분당연료전지| 4| 202107| 16.72| 7721.23| 32.43| 62.07| 기타
분당연료전지| 5| 202107| 5.72| 2842.47| 30.54| 66.79| 기타
분당연료전지| 6-1| 202107| 5.1| 3198.41| 44.78| 84.29| 기타
분당연료전지| 6-2| 202107| 3.25| 2110.03| 44.47| 87.26| 기타
삼천포| 3| 202107| 560| 316658| 34.68| 76| 석탄
삼천포| 4| 202107| 560| 338123| 34.64| 81.15| 석탄
삼천포| 5| 202107| 500| 147374| 35.59| 39.62| 석탄
삼천포| 6| 202107| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202107| 0.1| 7.62| 0| 10.24| 태양력
삼천포태양광| 2| 202107| 0.99| 118.63| 0| 16.11| 태양력
삼천포태양광| 3| 202107| 0.35| 40| 0| 15.36| 태양력
삼천포태양광| 4| 202107| 1.85| 202.65| 0| 14.72| 태양력
삼천포태양광#5| 1| 202107| 3.94| 457.3| 0| 15.6| 태양력
삼천포태양광#5| 2| 202107| 6.65| 799.16| 0| 16.15| 태양력
삼천포태양광#6| 1| 202107| 0.98| 99.73| 0| 13.68| 태양력
삼천포풍력| 1| 202107| 0.75| 10.76| 0| 1.93| 풍력
삼천포해양소수력| 1| 202107| 6| 1281.86| 0| 28.72| 소수력
안산연료전지| 1| 202107| 2.64| 722.94| 31.21| 36.81| 기타
여수| 1| 202107| 340| 197000| 36.44| 77.88| 석탄
여수| 2| 202107| 328.6| 174017| 36.34| 71.18| 석탄
여수연료전지| 1| 202107| 9.68| 7208.96| 48.87| 100.1| 기타
여수태양광| 1| 202107| 0.12| 19.8| 0| 22.18| 태양력
영동| 1| 202107| 125| 78584| 0| 84.5| 바이오매스
영동| 2| 202107| 200| 108813| 0| 73.13| 바이오매스
영동태양광| 1| 202107| 1.07| 147.94| 0| 18.58| 태양력
영흥| 1| 202107| 800| 412545| 38.94| 69.31| 석탄
영흥| 2| 202107| 800| 502029| 39.34| 84.35| 석탄
영흥| 3| 202107| 870| 541859.08| 39.79| 83.71| 석탄
영흥| 4| 202107| 870| 539790.15| 39.8| 83.39| 석탄
영흥| 5| 202107| 870| 553878| 39.72| 85.57| 석탄
영흥| 6| 202107| 870| 555763| 39.71| 85.86| 석탄
영흥태양광| 1| 202107| 1| 123.7| 0| 16.63| 태양력
영흥태양광| 2| 202107| 0.99| 127.51| 0| 17.31| 태양력
영흥태양광 #3| 1| 202107| 3.33| 440.53| 0| 17.78| 태양력
영흥태양광 #3| 2| 202107| 1.28| 144.56| 0| 15.18| 태양력
영흥태양광 #3| 3| 202107| 1.54| 196.16| 0| 17.12| 태양력
영흥풍력| 1| 202107| 22| 385.07| 0| 2.35| 풍력
영흥풍력| 2| 202107| 24| 816.07| 0| 4.57| 풍력
영흥해양소수력| 1| 202107| 3| 813.36| 0| 36.44| 소수력
영흥해양소수력| 2| 202107| 4.6| 1340.21| 0| 39.16| 소수력
영흥해양소수력| 3| 202107| 5| 1420.92| 0| 38.2| 소수력
예천태양광| 1| 202107| 2| 253.7| 0| 17.05| 태양력
탑선태양광| 1| 202107| 0.61| 63.36| 0| 13.96| 태양력
탑선태양광| 3| 202107| 0.4| 35.6| 0| 11.96| 태양력
경상대태양광| 1| 202106| 0.91| 105.46| 0| 16.1| 태양력
광양항세방태양광| 1| 202106| 3.1| 392.68| 0| 17.59| 태양력
구미태양광| 1| 202106| 0.99| 105.39| 0| 14.79| 태양력
군위 화산풍력| 1| 202106| 11.55| 658.3| 0| 7.92| 
두산태양광| 1| 202106| 0.08| 9.19| 0| 15.95| 태양력
분당| CG1| 202106| 77.76| 6502| 25.12| 11.61| 복합
분당| CG2| 202106| 77.76| 3768| 25.89| 6.73| 복합
분당| CG3| 202106| 77.76| 6358| 26.76| 11.36| 복합
분당| CG4| 202106| 77.76| 0| 0| 0| 복합
분당| CG5| 202106| 77.76| 4397| 26.93| 7.85| 복합
분당| CG6| 202106| 77.76| 1668| 26.47| 2.98| 복합
분당| CG7| 202106| 77.76| 15545| 28.35| 27.77| 복합
분당| CG8| 202106| 77.76| 16253| 27.45| 29.03| 복합
분당| CS1| 202106| 185| 8974| 0| 6.74| 복합
분당| CS2| 202106| 115| 11718| 0| 14.15| 복합
분당연료전지| 2| 202106| 3.08| 1025.03| 30.6| 46.22| 기타
분당연료전지| 3| 202106| 5.72| 3255.45| 33.54| 79.05| 기타
분당연료전지| 4| 202106| 16.72| 7560.52| 32.71| 62.8| 기타
분당연료전지| 5| 202106| 5.72| 2718.04| 31.08| 66| 기타
분당연료전지| 6-1| 202106| 5.1| 3235.9| 45.36| 88.12| 기타
분당연료전지| 6-2| 202106| 3.25| 2102.6| 45.19| 89.85| 기타
삼천포| 3| 202106| 560| 332031| 36.04| 82.35| 석탄
삼천포| 4| 202106| 560| 235880| 36.24| 58.5| 석탄
삼천포| 5| 202106| 500| 0| 0| 0| 석탄
삼천포| 6| 202106| 500| 0| 0| 0| 석탄
삼천포태양광| 1| 202106| 0.1| 8.23| 0| 11.43| 태양력
삼천포태양광| 2| 202106| 0.99| 107.06| 0| 15.02| 태양력
삼천포태양광| 3| 202106| 0.35| 40.79| 0| 16.19| 태양력
삼천포태양광| 4| 202106| 1.85| 203.29| 0| 15.26| 태양력
삼천포태양광#5| 1| 202106| 3.94| 456.47| 0| 16.09| 태양력
삼천포태양광#5| 2| 202106| 6.65| 815.34| 0| 17.03| 태양력
삼천포태양광#6| 1| 202106| 0.98| 119.35| 0| 16.91| 태양력
삼천포풍력| 1| 202106| 0.75| 15.8| 0| 2.93| 풍력
삼천포해양소수력| 1| 202106| 6| 1010.16| 0| 23.38| 소수력
안산연료전지| 1| 202106| 2.64| 867.77| 32.39| 45.65| 기타
여수| 1| 202106| 340| 186787| 36.55| 76.3| 석탄
여수| 2| 202106| 328.6| 159968| 36.6| 67.61| 석탄
여수연료전지| 1| 202106| 9.68| 6915.77| 49.04| 99.23| 기타
여수태양광| 1| 202106| 0.12| 19.16| 0| 22.18| 태양력
영동| 1| 202106| 125| 43318| 0| 48.13| 바이오매스
영동| 2| 202106| 200| 80608| 0| 55.98| 바이오매스
영동태양광| 1| 202106| 1.07| 124.93| 0| 16.22| 태양력
영흥| 1| 202106| 800| 310932| 39| 53.98| 석탄
영흥| 2| 202106| 800| 376677| 39.12| 65.4| 석탄
영흥| 3| 202106| 870| 236990.76| 39.38| 37.83| 석탄
영흥| 4| 202106| 870| 416179.82| 39.71| 66.44| 석탄
영흥| 5| 202106| 870| 544665| 39.46| 86.95| 석탄
영흥| 6| 202106| 870| 335736| 38.81| 53.6| 석탄
영흥태양광| 1| 202106| 1| 117.37| 0| 16.3| 태양력
영흥태양광| 2| 202106| 0.99| 120.61| 0| 16.92| 태양력
영흥태양광 #3| 1| 202106| 3.33| 414.09| 0| 17.27| 태양력
영흥태양광 #3| 2| 202106| 1.28| 143.48| 0| 15.57| 태양력
영흥태양광 #3| 3| 202106| 1.54| 186.71| 0| 16.84| 태양력
영흥풍력| 1| 202106| 22| 285.47| 0| 1.8| 풍력
영흥풍력| 2| 202106| 24| 601.67| 0| 3.48| 풍력
영흥해양소수력| 1| 202106| 3| 904.6| 0| 41.88| 소수력
영흥해양소수력| 2| 202106| 4.6| 1201.44| 0| 36.28| 소수력
